,temperature,performance,internet,size,set,range,sparsity,multiply,time
1,20,3.5,0,50,0,10,0.2,0,0.104223966598511
2,20,3.5,0,50,0,10,0.2,1,0.000153303146362
3,20,3.5,0,50,0,10,0.8,0,0.104201555252075
4,20,3.5,0,50,0,10,0.8,1,0.000153064727783
5,20,3.5,0,50,0,100000,0.2,0,0.10609769821167
6,20,3.5,0,50,0,100000,0.2,1,0.000159502029419
7,20,3.5,0,50,0,100000,0.8,0,0.103506088256836
8,20,3.5,0,50,0,100000,0.8,1,0.00016713142395
9,20,3.5,0,50,1,10,0.2,0,0.092651605606079
10,20,3.5,0,50,1,10,0.2,1,1.97887420654297E-05
11,20,3.5,0,50,1,10,0.8,0,0.093132734298706
12,20,3.5,0,50,1,10,0.8,1,1.85966491699219E-05
13,20,3.5,0,50,1,100000,0.2,0,0.091427326202393
14,20,3.5,0,50,1,100000,0.2,1,1.83582305908203E-05
15,20,3.5,0,50,1,100000,0.8,0,0.091310977935791
16,20,3.5,0,50,1,100000,0.8,1,1.88350677490234E-05
17,20,3.5,0,150,0,10,0.2,0,2.84952640533447
18,20,3.5,0,150,0,10,0.2,1,0.004231214523315
19,20,3.5,0,150,0,10,0.8,0,2.81767678260803
20,20,3.5,0,150,0,10,0.8,1,0.003945589065552
21,20,3.5,0,150,0,100000,0.2,0,2.62560987472534
22,20,3.5,0,150,0,100000,0.2,1,0.003944158554077
23,20,3.5,0,150,0,100000,0.8,0,2.58725118637085
24,20,3.5,0,150,0,100000,0.8,1,0.003662347793579
25,20,3.5,0,150,1,10,0.2,0,2.19585824012756
26,20,3.5,0,150,1,10,0.2,1,0.000231742858887
27,20,3.5,0,150,1,10,0.8,0,2.2111656665802
28,20,3.5,0,150,1,10,0.8,1,0.0002281665802
29,20,3.5,0,150,1,100000,0.2,0,2.10005354881287
30,20,3.5,0,150,1,100000,0.2,1,0.000211238861084
31,20,3.5,0,150,1,100000,0.8,0,2.06857061386108
32,20,3.5,0,150,1,100000,0.8,1,0.00019383430481
33,20,3.5,1,50,0,10,0.2,0,0.097458600997925
34,20,3.5,1,50,0,10,0.2,1,0.000147581100464
35,20,3.5,1,50,0,10,0.8,0,0.09661340713501
36,20,3.5,1,50,0,10,0.8,1,0.000309228897095
37,20,3.5,1,50,0,100000,0.2,0,0.088710069656372
38,20,3.5,1,50,0,100000,0.2,1,0.000141620635986
39,20,3.5,1,50,0,100000,0.8,0,0.088603258132935
40,20,3.5,1,50,0,100000,0.8,1,0.000141859054565
41,20,3.5,1,50,1,10,0.2,0,0.079279661178589
42,20,3.5,1,50,1,10,0.2,1,1.81198120117187E-05
