index;mat_size;sparse;music;conc;int_perc;calc;operator;time
32;5;60;weird;high;40;yes;Vojta;148.9
17;3;40;calm;low;40;yes;Vojta;95.3
27;3;60;calm;high;40;yes;Vojta;16.6
2;5;40;calm;low;20;yes;Vojta;218.1
48;5;60;weird;high;20;no;Vojta;107
40;5;60;weird;low;20;no;Vojta;497.4
13;3;40;weird;high;20;yes;Vojta;66
39;3;60;weird;low;20;no;Vojta;76.5
47;3;60;weird;high;20;no;Vojta;17.4
57;3;40;calm;high;40;no;Vojta;51.5
6;5;40;weird;low;20;yes;Vojta;297.2
29;3;40;weird;high;40;yes;Vojta;61.6
61;3;40;weird;high;40;no;Vojta;24.4
26;5;40;calm;high;40;yes;Vojta;179.9
62;5;40;weird;high;40;no;Vojta;602.8
36;5;60;calm;low;20;no;Vojta;427.9
10;5;40;calm;high;20;yes;Daniel;112.6
31;3;60;weird;high;40;yes;Daniel;43.9
52;5;60;calm;low;40;no;Daniel;330.1
14;5;40;weird;high;20;yes;Daniel;326.3
12;5;60;calm;high;20;yes;Daniel;123.7
58;5;40;calm;high;40;no;Daniel;243.2
35;3;60;calm;low;20;no;Daniel;33.1
21;3;40;weird;low;40;yes;Daniel;68.3
60;5;60;calm;high;40;no;Daniel;96.7
64;5;60;weird;high;40;no;Daniel;145.3
5;3;40;weird;low;20;yes;Daniel;81.9
42;5;40;calm;high;20;no;Daniel;264.9
24;5;60;weird;low;40;yes;Daniel;133.6
3;3;60;calm;low;20;yes;Daniel;18.9
34;5;40;calm;low;20;no;Daniel;185.1
4;5;60;calm;low;20;yes;Daniel;66.6
55;3;60;weird;low;40;no;Daniil;25.2
33;3;40;calm;low;20;no;Daniil;44.7
41;3;40;calm;high;20;no;Daniil;43.6
1;3;40;calm;low;20;yes;Daniil;64.7
44;5;60;calm;high;20;no;Daniil;125
7;3;60;weird;low;20;yes;Daniil;16.2
15;3;60;weird;high;20;yes;Daniil;34.3
30;5;40;weird;high;40;yes;Daniil;628.5
59;3;60;calm;high;40;no;Daniil;43.3
38;5;40;weird;low;20;no;Daniil;638.1
37;3;40;weird;low;20;no;Daniil;59.6
19;3;60;calm;low;40;yes;Daniil;11.8
22;5;40;weird;low;40;yes;Daniil;369.9
9;3;40;calm;high;20;yes;Daniil;45
23;3;60;weird;low;40;yes;Daniil;27.7
63;3;60;weird;high;40;no;Daniil;28.4
11;3;60;calm;high;20;yes;Adam;39.1
56;5;60;weird;low;40;no;Adam;503.4
25;3;40;calm;high;40;yes;Adam;217.9
45;3;40;weird;high;20;no;Adam;149.2
54;5;40;weird;low;40;no;Adam;702.1
43;3;60;calm;high;20;no;Adam;31.3
20;5;60;calm;low;40;yes;Adam;110.8
8;5;60;weird;low;20;yes;Adam;187.8
49;3;40;calm;low;40;no;Adam;99.2
46;5;40;weird;high;20;no;Adam;507.5
50;5;40;calm;low;40;no;Adam;661.8
28;5;60;calm;high;40;yes;Adam;198.3
53;3;40;weird;low;40;no;Adam;184
16;5;60;weird;high;20;yes;Adam;251.9
18;5;40;calm;low;40;yes;Adam;472.7
51;3;60;calm;low;40;no;Adam;40.6
65;4;50;calm;high;30;yes;Daniel;74.5
66;4;50;calm;low;30;yes;Daniel;103.1
67;4;50;calm;high;30;no;Daniel;94.9
68;4;50;calm;low;30;no;Daniel;98.3
69;4;50;weird;high;30;yes;Daniel;102.5
70;4;50;weird;low;30;yes;Daniel;104.1
71;4;50;weird;low;30;no;Daniel;144.4
72;4;50;weird;high;30;no;Daniel;118.9
