name,time,order,nic,weight,length,angle
Matěj,4.14,1,1,small,0.5,small
Michal,3.97,2,2,small,0.5,small
David,4.16,3,3,small,0.5,small
Matěj,4.2,4,4,small,0.5,large
Michal,4.21,5,5,small,0.5,large
David,4.37,6,6,small,0.5,large
Matěj,5.86,9,3,small,1,small
Michal,5.82,8,2,small,1,small
David,6.09,7,1,small,1,small
Matěj,5.98,12,6,small,1,large
Michal,5.94,11,5,small,1,large
David,5.99,10,4,small,1,large
Matěj,7.25,14,2,small,1.5,small
Michal,7.55,13,1,small,1.5,small
David,7.35,15,3,small,1.5,small
Matěj,7.4,17,5,small,1.5,large
Michal,7.23,16,4,small,1.5,large
David,7.55,18,6,small,1.5,large
Matěj,4.25,20,2,large,0.5,small
Michal,4.37,21,3,large,0.5,small
David,4.29,19,1,large,0.5,small
Matěj,4.25,23,2,large,0.5,large
Michal,4.47,24,3,large,0.5,large
David,4.34,22,1,large,0.5,large
Matěj,5.99,25,1,large,1,small
Michal,5.98,27,3,large,1,small
David,6.26,26,2,large,1,small
Matěj,6.05,28,1,large,1,large
Michal,6,30,3,large,1,large
David,6.25,29,2,large,1,large
Matěj,7.25,31,1,large,1.5,small
Michal,7.41,33,3,large,1.5,small
David,7.43,32,2,large,1.5,small
Matěj,7.42,34,1,large,1.5,large
Michal,7.43,36,3,large,1.5,large
David,7.68,35,2,large,1.5,large
